x,hump_amp,u_inflow,target_zeta,target_u,target_h,froude
4425.0,0.0,0.5,0.0011487243425515768,0.49473115317450506,30.001148724342553,0.02883804485983954
4450.0,0.0,0.5,0.0010756615165258955,0.49473580290670227,30.001075661516527,0.028838351009822738
4475.0,0.0,0.5,0.0010505089054331767,0.4947328690575782,30.001050508905433,0.028838192083397912
4500.0,0.0,0.5,0.0009767013180120453,0.4947371846022366,30.000976701318013,0.02883847911211109
4525.0,0.0,0.5,0.0009513805589943631,0.49473486742284084,30.000951380558995,0.028838356212317152
4550.0,0.0,0.5,0.0008779119622648534,0.49473889044881625,30.000877911962267,0.028838626027746825
4575.0,0.0,0.5,0.0008531835146486837,0.49473687170480296,30.00085318351465,0.028838520239135326
4600.0,0.0,0.5,0.0007808571175069353,0.49474060564026384,30.00078085711751,0.02883877265499888
4625.0,0.0,0.5,0.0007564433331904162,0.49473861794672697,30.00075644333319,0.028838668525013083
4650.0,0.0,0.5,0.000684717265507057,0.49474203536298184,30.000684717265507,0.02883890220282406
4675.0,0.0,0.5,0.0006596845796479681,0.4947401700103831,30.00065968457965,0.028838805501561766
4700.0,0.0,0.5,0.000587432308302431,0.49474324641773443,30.000587432308304,0.028839019555174778
4725.0,0.0,0.5,0.0005615108101709999,0.49474182825649693,30.000561510810172,0.02883894934821219
4750.0,0.0,0.5,0.0004884768723769382,0.4947445611687016,30.000488476872377,0.028839143755441825
4775.0,0.0,0.5,0.00046247362503267224,0.4947437480938697,30.00046247362503,0.028839108858822852
4800.0,0.0,0.5,0.0003895574949614876,0.4947461442111826,30.000389557494962,0.028839283577865728
4825.0,0.0,0.5,0.00036429001177202804,0.49474571717534566,30.00036429001177,0.028839270830263317
4850.0,0.0,0.5,0.00029235187663584973,0.49474781079679,30.000292351876634,0.028839427446933026
4875.0,0.0,0.5,0.00026753103799035153,0.4947474659122567,30.00026753103799,0.028839419273406726
4900.0,0.0,0.5,0.00019622921033346968,0.49474931676998307,30.000196229210335,0.02883956143371426
4925.0,0.0,0.5,0.00017082520209038,0.4947490761221387,30.00017082520209,0.028839559616644226
4950.0,0.0,0.5,9.903672259590789e-05,0.4947506644687153,30.000099036722595,0.028839686709186362
4975.0,0.0,0.5,7.270467010144075e-05,0.4947508033163966,30.000072704670103,0.02883970745957837
5000.0,0.0,0.5,0.0,0.4947520023395279,30.0,0.02883981229871273
0.0,0.0,1.0,0.08412837590688231,0.9972035627937867,30.084128375906882,0.05804710984408345
25.0,0.0,1.0,0.08412837590688231,0.9968378692313987,30.084128375906882,0.0580258228619895
50.0,0.0,1.0,0.08315275826129584,0.9970100712708683,30.083152758261296,0.05803678778767288
